Name,SABox,L,Br1,Br2,Br3,T1,T2,T3,Caliper_L_GM,Caliper_Br1_GM,Caliper_Br2_GM,Caliper_Br3_GM,Caliper_T1_GM,Caliper_T2_GM,Caliper_T3_GM,Volume,Length,Width,Thickness,@3DGMPC110x10,@3DGMPC210x10,@3DGMPC310x10,@3DGMPC410x10,@3DGMPC510x10,ScarCount,SurfaceArea3D,SDI_3D,Flaked,FlakedVisual,FAC1_2,FAC2_2
BSN17-21,62568.92,159,55.7,73.31,43.92,74.64,43.46,22.3,2.768157689,0.969725681,1.276312203,0.764638275,1.299467232,0.756629768,0.388238468,269239.6977,156.6530097,76.9441761,78.9055384,1.3167,0.8719,0.575,-1.0187,0.7581,7,26062.45945,0.026858555,29.199,30,1.618188927,-1.346687945
BSN17-24,62123,181,77,61.87,29.37,63,61,35.88,2.922877061,1.243433888,0.999107203,0.474281212,1.017354999,0.985058015,0.579407895,334915.3621,177.3330626,74.15663515,78.89085461,1.7201,1.099,0.118,-1.1974,0.4701,13,29500.23411,0.044067447,49.541,60,1.92409219,-2.078346446
BSN17-34,47706,141,75.5,61.62,40.75,54.17,56,30.08,2.396698417,1.283338514,1.047408202,0.69266284,0.920774136,0.951880222,0.511295662,250174.7077,141.117767,80.40702354,60.13020829,0.8315,0.8727,-0.1361,-0.8451,0.5227,10,22737.89564,0.043979444,33.603,35,0.663787283,-1.1024815
BSN17-35,41766,117,85.11,76.64,34.13,53.24,53.07,34.42,1.978039549,1.438896975,1.295700436,0.577012734,0.900092527,0.897218452,0.581915567,202239.6156,115.7251644,86.14838838,53.7670887,-0.6309,1.4434,-0.7153,-0.5358,-0.4323,9,20353.68505,0.044218037,40.753,40,-0.231577891,-0.555775008
BSN17C-29,42183.5,113,72.5,74.78,56.62,52.13,63.6,47.55,1.71152457,1.098102047,1.132635463,0.857579833,0.789573237,0.963300554,0.720203481,220590.2617,107.1711395,64.5072376,65.24016814,-1.2899,0.8861,-0.152,0.2609,0.499,12,21703.18178,0.055291432,71.838,70,-1.149353816,-0.470580685
BSN17C-231,42246,101,68.15,75.23,41.79,50.37,58.29,46.03,1.672846128,1.128757066,1.246021923,0.692160789,0.834269896,0.965447533,0.762387201,194417.611,99.22434384,85.68154747,66.90414473,-1.1287,0.1984,-0.2721,1.2764,1.2417,9,19364.80716,0.046476063,48.444,50,-1.181075641,-0.666739075
EG10-1125,21802.48,85.3,56.6,64.9,54.1,26.2,34.8,24.4,1.893069203,1.256127982,1.440330496,1.200645298,0.581458536,0.772318971,0.541511003,85291.31214,79.63386469,65.39161725,38.48040913,-1.1029,-1.0364,-0.0716,0.67,-0.6618,10,12008.64828,0.083273319,48.035,40,-0.572901273,1.643837311
EG10-1171,22379.78,86.3,57.9,60.1,27,30.4,34,23,2.10798155,1.414277309,1.468014961,0.659507553,0.742556653,0.830490993,0.561802731,63478.59544,81.55642738,57.94610804,32.98039602,-0.1536,0.1531,-1.4895,0.9163,0.2021,11,10413.66963,0.105630392,62.299,60,0.114779407,0.283565333
EG10-1215,20238.4,78,48.4,51.2,43.4,31.9,45,40.8,1.666862922,1.034309813,1.094145918,0.927459626,0.681704195,0.961651686,0.871897529,85451.86613,77.72994689,53.07033895,48.86617075,-1.5815,-0.1413,1.6323,0.4641,-0.3411,10,11099.75241,0.0900921,44.245,30,-1.374652228,-0.327466776
EG10-1223,20331.46,82,50.4,57.1,48.5,26.9,38.3,20.5,1.939207399,1.191903084,1.350350518,1.14697023,0.636154622,0.905751748,0.48480185,69872.36507,81.32957371,56.14321131,40.84933454,-0.9359,-0.8902,-0.0045,-0.9909,-0.8714,7,10255.44534,0.068256421,48.013,50,-0.482225492,1.081311498
