Note,Site,Catalog,Scan,Coverage,Old_Scar_Length,New_Scar_Length,Total_Scar_Area,Base,Type,Technology,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,SA_fitted,Calc_cover,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Dis_1,logSDI,Average_scar_area,Average_scar_area_relative,Collapsed_Types,FAC1_1,FAC2_1,filter_$,logSDI_plus_one
 ,OGS12,        13,1,40,664.3,663.9,24407.99,flake,pick,Bifacial,998,183,95,64,85.01,95.68,67.43,62.15,61.79,40.34,13,58316.2977,.418544917332775,76.6526610577079,2.38739265506032,1.10902868637529,1.24822802861296,.879682441151461,.810800292415294,.806103782274192,.526270053033515,2,Pick,Pick,.348153407975981,1877.53769230769,.0321957628717519,Pick,.355645547943028,-.907918797274963,Not Selected,.509097963019259
 ,OGS12,        15, ,90,737.8,808.3,33879.37,cobble,handaxe,Bifacial,480,133,84,63,78.99,77.8,48.14,34,63,21.38,14,32381.7132,1.04625007919593,56.3403466804383,2.3606528506893,1.40201480207479,1.38089317130547,.854449836332202,.603475164837866,1.11820398190546,.379479383065693,2,Handaxe/Cleaver,Handaxe/Cleaver,.635828213693743,2419.955,.0747321485139952,Handaxe,.56178040960757,-.607716173340238,Not Selected,.726191370608808
 ,OGS12,        16,1,60,530.2,549.6,20916.4,cobble,handaxe,Bifacial,586,135,84,42,69.93,83.62,64.42,43.65,41.35,21.59,11,33653.6723,.621519096446423,57.1110419368297,2.36381609267999,1.22445673600824,1.46416519755482,1.12797801992922,.764300536633198,.724028114313465,.378035477340452,2,Handaxe/Cleaver,Handaxe/Cleaver,.514360223653001,1901.49090909091,.0565017360405839,Handaxe,.786874883604729,.100832482971705,Not Selected,.630284271079899
 ,OGS12,        17, ,10,216.8,213.25,7318.745,flake,Flake,Unidirectional,618,167.3,107.59,53,91.75,96.79,55.15,43.49,45.29,23.94,4,45062.0938333333,.162414667793048,62.8263725086807,2.66289447121723,1.46037398526109,1.54059507393375,.877816079423971,.692225227455095,.720875616266757,.381050171195102,2,Retouched Flake/Knife,Handaxe/Cleaver,-.0517513762448448,1829.68625,.0406036669482621,Flake,1.40096856172977,-.560564863989776,Selected,.27592470124807
 ,OGS12,        22, ,80,798.6,826.55,39215.7818,cobble,pick,Bifacial,1016,159,110,75,89.15,97.95,64.39,53.76,71.97,40.7,11,51712.897,.758336586712595,75.57249961004,2.10393993609385,1.17966192014319,1.29610639459366,.852029512484798,.711369880279279,.952330548431914,.538555694333457,2,Pick,Handaxe/Cleaver,.327793817162367,3565.07107272727,.068939689701145,Pick,-.112446723369852,-.364878138246852,Not Selected,.495145789341444
 ,OGS12,        55, ,25,250.2,206.68,8374.4229,flake,Flake,Unidirectional,618,125,123,45,78.93,86.23,77.4,34.12,44.3,26.14,6,33642.9942666667,.248920260593372,59.3758678819773,2.10523238579797,1.32932793768827,1.45227350901887,1.3035598932861,.574644232027414,.7460943575268,.440246196518071,2,Retouched Flake/Knife,Retouched Flake/Knife,.251256608810068,1395.73715,.0414867100988954,Flake,.505414846074102,1.1279460675507,Selected,.444580650387151
 ,OGS12,        57, ,25,238,285.84,11958.3456,flake,handaxe,Unifacial simple,640,145,113,51,81.71,111.07,61.96,36.27,49.55,30.73,4,40759.0191666667,.293391397646284,64.2160510880054,2.25800243931667,1.27242330563148,1.72962986851657,.964867800965936,.564812058441487,.771613937021661,.478540792828974,2,Handaxe/Cleaver,Retouched Flake/Knife,-.00816373318136237,2989.5864,.0733478494115709,Handaxe,.741786130025936,.570836576285874,Selected,.296967311206915
 ,OGS12,        58, ,25,286,289.75,11131,flake,Core,Unidirectional,562,137,82,48,68.84,82.18,48.75,38.24,45.53,30.39,5,32786.2274333333,.339502311531069,57.1826213078482,2.39583280490846,1.20386226488977,1.43714992633122,.852531746272169,.668734645691236,.796220931441474,.531455174753051,1,Core,Handaxe/Cleaver,.183278557143456,2226.2,.0679004623062137,Core,.602102612172978,-.480872567043365,Not Selected,.402266645060734
 ,OGS12,        59, ,5,227.2,277.6,6394.71,flake,Flake,Unidirectional,854,170,116.84,37,106.52,116.84,92.31,33.93,35.97,22.14,8,51865.1003333333,.123295047322798,65.6884325518024,2.58797467675814,1.62159448569575,1.77869977195542,1.40527024947967,.516529298720022,.54758499484112,.337045643196619,2,Retouched Flake/Knife,Retouched Flake/Knife,.188214764614399,799.33875,.0154118809153498,Flake,1.95317982293185,1.34510369142352,Selected,.405254647178059
 ,OGS12,        60, ,40,345.6,356.4,10004.04,flake,handaxe,Unidirectional,438,128,78,47,63.17,72.29,42.59,36.9,46.3,27,6,28078.2363333333,.356291608961337,52.8284978356799,2.42293468949537,1.19575612762049,1.36839022424703,.806193659575061,.698486640956087,.876420907215903,.51108778606543,2,Handaxe/Cleaver,Handaxe/Cleaver,.329781425229167,1667.34,.0593819348268895,Handaxe,.533553320481899,-.827985156983659,Selected,.496498784642441
 ,OGS12,61, ,0, ,0,0,flake,Flake, ,674,136.6,86.5,50.2,86,81,62.5,39,49.7,40.3,0,38520.15,0,64.5025932873266,2.11774431132584,1.33327972748186,1.25576346425617,.968953290321118,.604626853160378,.770511656463353,.624781081599057,2,Large Flake,Oldowan,0, , ,Flake,.111857460173626,.158920688993985,Selected,0
 ,OGS12,        62, ,15,258.3,248.5,10934.7,flake,Flake,Unidirectional,644,153.62,109,58,67,101.9,63.94,26.05,48.35,52.42,3,41931.0642666667,.260778022004383,64.0613077758162,2.39801535956144,1.0458731225792,1.59066374911672,.99810637996588,.406641714077435,.754745753383646,.81827864306868,2,Retouched Flake/Knife,Large Flake,-.145414630800406,3644.9,.0869260073347943,Flake,.656854134705927,.225503489088258,Selected,.234380600496292
 ,OGS12,        63,1,40,160.4,276.84,10010.0371,flake,handaxe,Unidirectional,750,167,86,47,86,77.38,38.17,33.88,44.81,30.86,4,38727.4062,.25847424555895,57.1343319327247,2.92293607627444,1.50522456622516,1.35435205737794,.668074670846679,.592988468647773,.78429200944825,.54013058271754,2,Handaxe/Cleaver,Pick,.0140415805992911,2502.509275,.0646185613897375,Handaxe,1.56759465392051,-1.60623508959408,Selected,.308107532424466
 ,OGS12,64, ,0, ,0,0,flake,Flake, ,310,112.12,83.4,37.94,80,72,50,35.24,35.37,22.2,0,25965.2648,0,50.9682743897259,2.1997998037501,1.5696038556904,1.41264347012136,.9810024098065,.691410498431621,.693961104697118,.435565069954086,2,Large Flake,Handaxe/Cleaver,0, , ,Flake,.608637012622909,.385698787053034,Selected,0
 ,OGS12,        65, ,60,668.2,660.61,20439.7512,flake,handaxe,Bifacial,750,108,106,38,74.08,105.36,67.8,45.02,37.22,32.9,13,31657.0616,.645661668106303,61.0220577972322,1.7698518191384,1.21398724779419,1.72658877467057,1.11107364201466,.73776600831121,.609943376928993,.539149304163457,2,Handaxe/Cleaver,Retouched Flake/Knife,.613472751007564,1572.28855384615,.0496662821620233,Handaxe,-.0885530947501902,1.65372244302345,Selected,.708124079172764
 ,OGS12,        66, ,85,654,683,24150.64,flake,pick,Multifacial,772,151,74,63,74.37,69.7,40.36,62.42,74.13,40,12,42595.2287333333,.566979934564846,66.6573524530792,2.26531649462511,1.11570587884284,1.04564609056537,.605484594192513,.936430831751652,1.11210537580503,.600083839635791,2,Pick,Pick,.449820291330701,2012.55333333333,.0472483278804039,Pick,-.367204783126222,-1.90462693158691,Not Selected,.581746842597782
 ,OGS12,        70, ,70,747.9,858.2,34811.34,flake,pick,Multifacial,1018,166,100.28,83,100.28,86,64.92,75.76,74,46.11,9,60066.4206666667,.579547434550536,81.5687375119562,2.03509340788397,1.2293925719434,1.05432550047001,.79589315686643,.928787208321021,.907210314357914,.565290102635722,2,Pick,Pick,.175610756150704,3867.92666666667,.0643941593945041,Pick,-.477722203863288,-.845186288608424,Not Selected,.397651770729096
 ,OGS12,        74,1,80,792,836.2,31846.08,cobble,pick,Multifacial,896,150,90,73,86.88,73.77,44.09,70.15,57.66,35.18,15,44418.7182,.716951800738816,66.9538547826201,2.24034897597766,1.29761012688626,1.10180362638581,.658513242339034,1.04773653776555,.861190146365813,.525436513165961,2,Pick,Pick,.528525237186741,2123.072,.047796786715921,Pick,-.120476569042884,-1.44324683276938,Not Selected,.641172053637095
 ,OGS12,75, ,0, ,0,0,flake,Flake, ,398,130.9,77.5,37.7,75,76.1,33.1,25.7,34.8,36.6,0,27687.0733333333,0,50.2542077107186,2.60475701365163,1.49241234548413,1.51430105988456,.658651315140328,.511399963719227,.692479328304635,.728297224596254,2,Large Flake,Large Flake,0, , ,Flake,1.09371888427342,-.648630476554691,Selected,0
 ,OGS12,76, ,100, ,472.9,12122.01,cobble,Core,Multifacial,120,60,51.3,43.5,43,50.8,39.6,30,43,35.6,14,12379.76,.979179725616652,42.2004324839755,1.42178637678141,1.01894690336001,1.20377913234159,.938379008675729,.710893188390704,1.01894690336001,.843593250223635,1,Core,Core,1.05341581035488,865.857857142857,.069941408972618,Core,-1.60635890984623,.736554351459484,Not Selected,1.09021505989501
 ,OGS12,78, ,25, ,352.69,18231.36,flake,Flake,Unidirectional,1018,151.9,145.61,58.91,123,110,63.36,53.6,58.7,48.3,5,55927.904,.325979675548006,79.3393576686665,1.91456049637253,1.55030244275064,1.38644933904528,.798594819290084,.675578950662066,.739859783654165,.608777300689884,2,Retouched Flake/Knife,Oldowan,-.048658539321014,3646.272,.0651959351096011,Flake,-.10878119098588,.49242608814044,Selected,.277381835307121
