Site,Catalog,Scan,Coverage,Old_Scar_Length,New_Scar_Length,Total_Scar_Area,Base,Type,Technology,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,SA_fitted,Calc_cover,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Dis_1,logSDI,Average_scar_area,Average_scar_area_relative,Collapsed_Types,FAC1_1,FAC2_1,filter_$,logSDI_plus_one,Note
OGS12,13,1,40,664.3,663.9,24407.99,flake,pick,Bifacial,998,183,95,64,85.01,95.68,67.43,62.15,61.79,40.34,13,58316.2977,0.418544917,76.65266106,2.387392655,1.109028686,1.248228029,0.879682441,0.810800292,0.806103782,0.526270053,2,Pick,Pick,0.348153408,1877.537692,0.032195763,Pick,0.355645548,-0.907918797,Not Selected,0.509097963, 
OGS12,15, ,90,737.8,808.3,33879.37,cobble,handaxe,Bifacial,480,133,84,63,78.99,77.8,48.14,34,63,21.38,14,32381.7132,1.046250079,56.34034668,2.360652851,1.402014802,1.380893171,0.854449836,0.603475165,1.118203982,0.379479383,2,Handaxe/Cleaver,Handaxe/Cleaver,0.635828214,2419.955,0.074732149,Handaxe,0.56178041,-0.607716173,Not Selected,0.726191371, 
OGS12,16,1,60,530.2,549.6,20916.4,cobble,handaxe,Bifacial,586,135,84,42,69.93,83.62,64.42,43.65,41.35,21.59,11,33653.6723,0.621519096,57.11104194,2.363816093,1.224456736,1.464165198,1.12797802,0.764300537,0.724028114,0.378035477,2,Handaxe/Cleaver,Handaxe/Cleaver,0.514360224,1901.490909,0.056501736,Handaxe,0.786874884,0.100832483,Not Selected,0.630284271, 
OGS12,17, ,10,216.8,213.25,7318.745,flake,Flake,Unidirectional,618,167.3,107.59,53,91.75,96.79,55.15,43.49,45.29,23.94,4,45062.09383,0.162414668,62.82637251,2.662894471,1.460373985,1.540595074,0.877816079,0.692225227,0.720875616,0.381050171,2,Retouched Flake/Knife,Handaxe/Cleaver,-0.051751376,1829.68625,0.040603667,Flake,1.400968562,-0.560564864,Selected,0.275924701, 
OGS12,22, ,80,798.6,826.55,39215.7818,cobble,pick,Bifacial,1016,159,110,75,89.15,97.95,64.39,53.76,71.97,40.7,11,51712.897,0.758336587,75.57249961,2.103939936,1.17966192,1.296106395,0.852029512,0.71136988,0.952330548,0.538555694,2,Pick,Handaxe/Cleaver,0.327793817,3565.071073,0.06893969,Pick,-0.112446723,-0.364878138,Not Selected,0.495145789, 
OGS12,55, ,25,250.2,206.68,8374.4229,flake,Flake,Unidirectional,618,125,123,45,78.93,86.23,77.4,34.12,44.3,26.14,6,33642.99427,0.248920261,59.37586788,2.105232386,1.329327938,1.452273509,1.303559893,0.574644232,0.746094358,0.440246197,2,Retouched Flake/Knife,Retouched Flake/Knife,0.251256609,1395.73715,0.04148671,Flake,0.505414846,1.127946068,Selected,0.44458065, 
OGS12,57, ,25,238,285.84,11958.3456,flake,handaxe,Unifacial simple,640,145,113,51,81.71,111.07,61.96,36.27,49.55,30.73,4,40759.01917,0.293391398,64.21605109,2.258002439,1.272423306,1.729629869,0.964867801,0.564812058,0.771613937,0.478540793,2,Handaxe/Cleaver,Retouched Flake/Knife,-0.008163733,2989.5864,0.073347849,Handaxe,0.74178613,0.570836576,Selected,0.296967311, 
OGS12,58, ,25,286,289.75,11131,flake,Core,Unidirectional,562,137,82,48,68.84,82.18,48.75,38.24,45.53,30.39,5,32786.22743,0.339502312,57.18262131,2.395832805,1.203862265,1.437149926,0.852531746,0.668734646,0.796220931,0.531455175,1,Core,Handaxe/Cleaver,0.183278557,2226.2,0.067900462,Core,0.602102612,-0.480872567,Not Selected,0.402266645, 
OGS12,59, ,5,227.2,277.6,6394.71,flake,Flake,Unidirectional,854,170,116.84,37,106.52,116.84,92.31,33.93,35.97,22.14,8,51865.10033,0.123295047,65.68843255,2.587974677,1.621594486,1.778699772,1.405270249,0.516529299,0.547584995,0.337045643,2,Retouched Flake/Knife,Retouched Flake/Knife,0.188214765,799.33875,0.015411881,Flake,1.953179823,1.345103691,Selected,0.405254647, 
OGS12,60, ,40,345.6,356.4,10004.04,flake,handaxe,Unidirectional,438,128,78,47,63.17,72.29,42.59,36.9,46.3,27,6,28078.23633,0.356291609,52.82849784,2.422934689,1.195756128,1.368390224,0.80619366,0.698486641,0.876420907,0.511087786,2,Handaxe/Cleaver,Handaxe/Cleaver,0.329781425,1667.34,0.059381935,Handaxe,0.53355332,-0.827985157,Selected,0.496498785, 
