Name,Type,L,Br1,Br2,Br3,T1,T2,T3,Caliper_L_GM,Caliper_Br1_GM,Caliper_Br2_GM,Caliper_Br3_GM,Caliper_T1_GM,Caliper_T2_GM,Caliper_T3_GM,Volume,Length,Width,Thickness,Lengthofthehighertouchpointofwidth,Lengthofthehighertouchpointofthickness,widthathalflength,thicknessathalf,widthatonefifth,thicknessatonefifth,widthatfourfifth,thicknessatfourfifth,@3DGMPC110x10,@3DGMPC210x10,@3DGMPC310x10,@3DGMPC410x10,@3DGMPC510x10,ScarCount,SurfaceArea3D,SDI,Cortex,Ventral,Flaked,SurfaceAreaCallipers,FlakedVisual,FlakedCallipers,FAC1_1,ScarcountDS,PC1_Final,PC2_Final,FAC1_2,FAC2_2,FAC3_2,FAC4_2,LbyBr2,LbyT2,Br1byBr3,T1byT3,LbyBr,LbyT,SDILinearEst,SAcalipersCorrected,SDILinearCorrected,TDFlaked_VisualFlaked
BSN17-21,Pick,159,55.7,73.31,43.92,74.64,43.46,22.3,2.768157689,0.969725681,1.276312203,0.764638275,1.299467232,0.756629768,0.388238468,269239.6977,156.6530097,76.9441761,78.9055384,75.69669348,54.45288584,73.06610748,53.66707411,51.95597477,75.55044175,37.79792272,20.04339188,1.4446,-0.8566,0.7916,-0.8824,0.1392,7,26062.45945,0.000268586,70.801,0,29.199,38349.844,30,0.307864616,0.797876353,7,0.79788,-2.34115,1.456474513,-1.587191022,0.43548322,-2.950631316,2.168871914,3.658536585,1.268214936,3.347085202,2.035930692,1.985323373,0.00018253,25566.56267,0.000273795,-0.801
BSN17-24,Pick,181,77,61.87,29.37,63,61,35.88,2.922877061,1.243433888,0.999107203,0.474281212,1.017354999,0.985058015,0.579407895,334915.3621,177.3330626,74.15663515,78.89085461,38.93032531,63.83596239,65.50311569,59.80841524,72.79148109,77.58808003,33.61828294,25.25914238,1.7704,-1.2614,0.6205,-0.9697,0.3589,13,29500.23411,0.000440674,50.459,0,49.541,45497.94227,60,0.536599652,0.785186239,13,0.78519,-3.28734,1.717909678,-2.41557296,-0.005312659,0.322056514,2.925488928,2.967213115,2.621722846,1.755852843,2.391331029,2.247827882,0.000285727,30331.96151,0.000428591,-10.459
BSN17-34,Pick,141,75.5,61.62,40.75,54.17,56,30.08,2.396698417,1.283338514,1.047408202,0.69266284,0.920774136,0.951880222,0.511295662,250174.7077,141.117767,80.40702354,60.13020829,49.68858384,49.0208645,67.91676108,49.0566421,70.62843792,53.62721542,31.93924328,25.22147263,0.9183,-1.1003,0.2891,-0.5974,0.4449,10,22737.89564,0.000439794,66.397,0,33.603,35218.875,35,0.293849818,0.132824639,10,0.13282,-1.70126,0.614501231,-1.235478403,0.379161654,0.075736181,2.288218111,2.517857143,1.852760736,1.800864362,1.755042791,2.346869753,0.000283939,23479.25,0.000425908,-1.397
BSN17C-35,Handaxe/Cleaver,117,85.11,76.64,34.13,53.24,53.07,34.42,1.978039549,1.438896975,1.295700436,0.577012734,0.900092527,0.897218452,0.581915567,202239.6156,115.7251644,86.14838838,53.7670887,42.14823165,44.03014753,77.06205682,52.41473043,84.31507679,50.2012897,29.14302612,27.00110229,-0.4101,-1.7504,0.0083,0.263,-0.1903,9,20353.68505,0.00044218,59.247,0,40.753,31961.591,40,0.376250982,-0.385129544,9,-0.38513,-0.6258,-0.155824968,-0.528195492,1.510767101,1.070142391,1.526617954,2.204635387,2.493700557,1.546775131,1.343323613,2.152342021,0.000281588,21307.72733,0.000422382,0.753
BSN17C-29,Pick,113,72.5,74.78,56.62,52.13,63.6,47.55,1.71152457,1.098102047,1.132635463,0.857579833,0.789573237,0.963300554,0.720203481,220590.2617,107.1711395,64.5072376,65.24016814,65.34742686,59.201627,62.6606091,64.9012005,61.29590813,53.59402425,56.26534797,44.28566854,-1.0348,-0.7161,0.2411,0.7574,0.0314,12,21703.18178,0.000552914,28.162,0,71.838,34132.59933,70, ,-1.083837026,12,-1.08384,-0.02038,-1.009898522,-0.340496752,-0.47143878,0.044880855,1.511099224,1.77672956,1.280466266,1.096319664,1.661381629,1.642717095,0.00035157,22755.06622,0.000527355,1.838
BSN17C-231,Core,101,68.15,75.23,41.79,50.37,58.29,46.03,1.672846128,1.128757066,1.246021923,0.692160789,0.834269896,0.965447533,0.762387201,194417.611,99.22434384,85.68154747,66.90414473,50.1969741,37.74641597,81.64660882,57.70081785,68.45238666,58.90265854,41.78582968,35.67122934,-1.0548,0.0969,0.1033,0.9984,1.309,9,19364.80716,0.000464761,51.556,0,48.444,28240.21587,50,0.533639689,-1.174521202,9,-1.17452,-0.12369,-1.039336758,-0.522814902,-0.026629385,0.540935499,1.342549515,1.732715732,1.630772912,1.094286335,1.158059661,1.483082165,0.000318694,18826.81058,0.000478042,-1.556
EG10-1125,Oldowan,85.3,56.6,64.9,54.1,26.2,34.8,24.4,1.893069203,1.256127982,1.440330496,1.200645298,0.581458536,0.772318971,0.541511003,85291.31214,79.63386469,65.39161725,38.48040913,48.46618639,62.75121326,65.05369358,37.67612397,53.49660502,33.02991905,56.09901823,28.10131925,-0.7953,1.0032,-0.7492,0.7191,-0.9304,10,12008.64828,0.000832733,51.965,0,48.035,17645.16,40,0.357319514,-0.028857133,10,-0.02886,1.22761,-0.357451666,1.699319609,-0.298505006,-0.495307398,1.314329738,2.451149425,1.046210721,1.073770492,1.217799284,2.069465125,0.000566728,11763.44,0.000850091,8.035
EG10-1171,Oldowan,86.3,57.9,60.1,27,30.4,34,23,2.10798155,1.414277309,1.468014961,0.659507553,0.742556653,0.830490993,0.561802731,63478.59544,81.55642738,57.94610804,32.98039602,41.14454781,23.21559765,57.9093058,30.60858651,46.65397726,32.90504823,46.5213188,25.97821865,0.1721,-0.3353,-1.0074,1.445,0.4405,11,10413.66963,0.001056304,20.537,17.164,62.299,15751.90667,60,0.680369064,0.092299606,11,0.0923,-0.24675,0.217280027,0.250536508,1.002818802,1.07306055,1.4359401,2.538235294,2.144444444,1.32173913,1.407453065,2.472875927,0.000698328,10501.27111,0.001047492,2.299
EG10-1215,Oldowan,78,48.4,51.2,43.4,31.9,45,40.8,1.666862922,1.034309813,1.094145918,0.927459626,0.681704195,0.961651686,0.871897529,85451.86613,77.72994689,53.07033895,48.86617075,43.17087772,38.22410579,52.45505701,48.4830097,47.7960441,32.68167545,41.11836103,34.57627646,-1.48,0.8845,1.0945,0.1464,-0.9978,10,11099.75241,0.000900921,55.755,0,44.245,16871.08,30,0.311282384,-1.231292841,10,-1.23129,0.21324,-1.207061726,-0.18474202,-1.350364276,0.3128861,1.5234375,1.733333333,1.115207373,0.781862745,1.464658949,1.590669899,0.00059273,11247.38667,0.000889095,14.245
EG10-1223,Oldowan,82,50.4,57.1,48.5,26.9,38.3,20.5,1.939207399,1.191903084,1.350350518,1.14697023,0.636154622,0.905751748,0.48480185,69872.36507,81.32957371,56.14321131,40.84933454,45.96369494,49.53300462,55.71138723,40.05193991,43.48119332,28.34447498,48.3218199,23.38544563,-0.7728,0.199,-0.8351,-0.8494,-1.0257,7,10255.44534,0.000682564,51.987,0,48.013,15562.94333,50,0.447656966,-0.131092042,7,-0.13109,0.68735,-0.311779853,1.116293252,-0.44343748,-0.639581225,1.436077058,2.140992167,1.039175258,1.312195122,1.448609223,1.99096447,0.000449786,10375.29556,0.00067468,-1.987
OGS7-334,Oldowan,64,41,38.5,36.7,19.6,25.1,22,1.956151057,1.253159271,1.17674712,1.121730371,0.599071261,0.767177992,0.672426926,28196.50708,63.90484377,40.93961629,27.80828623,44.18590687,34.93695641,38.60148271,25.45614317,34.06831245,21.79827637,36.59286638,19.19749962,-0.2178,0.153,-0.8305,0.4364,0.1011,6,5816.128291,0.001031614,50.91,0,49.09,9414.733333,50,0.462211711,-0.218347744,6,-0.21835,0.57917,-0.36874538,0.868669011,-0.673314549,-0.051624642,1.662337662,2.549800797,1.117166213,0.890909091,1.560953657,2.298050417,0.000637299,6276.488889,0.000955948,-0.91
OGS7-335,Oldowan,67,50,56.9,26.2,31,39.5,23.5,1.706665352,1.27363086,1.449391919,0.667382571,0.789651133,1.006168379,0.598606504,59852.336,66.50340427,60.31326942,39.97144046,44.15221235,41.07674709,56.47178552,39.48266775,50.13675912,21.23837835,45.50961935,30.97159552,-2.1555,-1.7675,-1.0206,0.6891,-0.9018,6,9358.898638,0.000641101,27.561,0,72.439,12309.5,75,0.816189935,-0.816218527,6,-0.81622,0.15851,-0.769672508,0.070825432,0.77807127,0.884012936,1.177504394,1.696202532,1.908396947,1.319148936,1.102633051,1.663773022,0.000487428,8206.333333,0.000731143,-2.561
OGS7-437,Oldowan,67,33.6,38.6,20,10.2,20.8,19.5,2.618005705,1.312910324,1.508283884,0.78149424,0.398562063,0.81275401,0.761956884,21772.5706,66.38726555,39.63231166,22.48335808,40.37881821,31.53775262,38.27637385,21.52758198,20.95599406,19.8561545,28.90335453,15.17679649,1.2835,-0.0332,-0.4343,0.666,0.4715,5,5361.078588,0.000932648,47.469,0,52.531,7106.653333,45,0.255038471,1.034089418,5,1.03409,-0.56492,1.253188863,0.707717928,-1.303640974,1.759048622,1.735751295,3.221153846,1.68,0.523076923,1.675079317,2.952729094,0.000703566,4737.768889,0.001055349,7.531
OGS7-485,Oldowan,62,47.3,36.4,21.4,30.6,34.6,24.7,1.790299222,1.365825052,1.051078898,0.61794199,0.883599293,0.999102469,0.713232109,34930.3566,63.83080324,47.17275887,38.84139736,20.51553588,28.20678572,39.7540671,37.15349975,44.55563762,24.71858883,19.87887513,19.53751786,-0.4194,0.9307,-1.1535,-1.321,0.248,8,6608.173867,0.001210622,26.606,0,73.394,10035.96,70,0.70609289,-1.018354507,8,-1.01835,-0.68345,-0.767426169,-1.019055761,0.822189288,1.272531047,1.703296703,1.791907514,2.210280374,1.238866397,1.353128474,1.643370413,0.000797134,6690.64,0.0011957,3.394
OGS7-486,Oldowan,70,34.9,40.8,24.9,19.4,29.2,22.7,2.2106885,1.102186124,1.288515583,0.786373481,0.612676527,0.922172917,0.716894699,29519.81666,68.61100175,43.09227806,31.30321943,42.07735594,43.77115402,42.19812705,29.03012044,33.44340199,19.08870135,23.77395334,22.27382052,0.9214,1.3791,0.1299,0.3874,0.3976,8,6370.738771,0.001255741,32.974,0,67.026,9264.29,70,0.736536745,-0.05207996,8,-0.05208,-0.60246,0.186236797,-0.127961777,-1.209176707,0.615180597,1.715686275,2.397260274,1.401606426,0.854625551,1.592187855,2.19181934,0.000863531,6176.193333,0.001295296,-2.974
OGS7-523,Oldowan,63,35.1,37.2,32,35.7,27.2,23.7,1.815550179,1.011520814,1.072039153,0.922184218,1.028811768,0.783856585,0.682992686,31061.14844,49.53765374,41.38494878,33.00664958,38.29122921,12.79554081,36.80174612,28.78814082,39.24176533,32.94261276,33.82764935,24.07391691,-0.7049,1.6631,1.1418,-1.3642,-0.3607,4,5957.57497,0.000671414,48.751,0,51.249,10029.27,60,0.480672073,-0.952114753,4,-0.95211,-0.31727,-0.817954988,-0.706783177,-0.095890195,-1.506504552,1.693548387,2.316176471,1.096875,1.506329114,1.19699686,1.5008386,0.000398833,6686.18,0.000598249,-8.751
OGS7-2002,Oldowan,46,35.6,37.5,31.6,26.7,31,26.9,1.391212092,1.076677184,1.134140292,0.95570222,0.807507888,0.937555975,0.813556636,23796.14107,43.86547722,37.33019445,30.83917686,26.93247434,24.35203281,36.59659587,30.60442127,29.28362545,22.19418631,33.39824696,22.37632922,-2.3022,1.7146,0.9512,0.2336,0.7951,19,4673.474561,0.004065498,3.353,0,96.647,7605.76,95,0.749709431,-1.64796177,19,-1.64796,0.73628,-1.77046615,-0.006307574,-0.444695063,-0.130375377,1.226666667,1.483870968,1.126582278,0.992565056,1.175066936,1.422394554,0.002498107,5070.506667,0.00374716,1.647
