Site,Locality,Catalog,FAI,Base,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,SA_fitted,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Average_scar_area,BaseRefinement,MidRefinement,TipRefinement,AvgScarLength,GM_Scar_length,SDI,Volume_fitted,Avg_Scar_length,Contexts,LbyBr,LbyT,SA_Corrected,cSDI,Dis_1,Dis_2,Flaked,Note
OGS12,OGS12,13,40,flake,998,183,95,64,85.01,95.68,67.43,62.15,61.79,40.34,13,58316.3,76.65,2.39,1.11,1.25,0.88,0.81,0.81,0.53,2,Pick,1877.54,1.37,1.55,1.67,51.07,8.66,0.02,840360.96,51.07,Acheulean,1.93,2.86,36909.05,0.04,2,flake,Flaked,
OGS12,OGS12,15,90,cobble,480,133,84,63,78.99,77.8,48.14,34,63,21.38,14,32381.71,56.34,2.36,1.4,1.38,0.85,0.6,1.12,0.38,2,Handaxe,2419.96,2.32,1.23,2.25,57.74,14.35,0.04,378169.11,57.74,Acheulean,1.58,2.11,20494.76,0.07,2,cobble,Flaked,
OGS12,OGS12,16,60,cobble,586,135,84,42,69.93,83.62,64.42,43.65,41.35,21.59,11,33653.67,57.11,2.36,1.22,1.46,1.13,0.76,0.72,0.38,2,Handaxe,1901.49,1.6,2.02,2.98,49.96,9.62,0.03,351987.74,49.96,Acheulean,1.61,3.21,21299.79,0.05,2,flake,Flaked,
OGS12,OGS12,17,10,flake,618,167.3,107.59,53,91.75,96.79,55.15,43.49,45.29,23.94,4,45062.09,62.83,2.66,1.46,1.54,0.88,0.69,0.72,0.38,2,Knife,1829.69,2.11,2.14,2.3,53.31,3.39,0.01,535202.54,53.31,Acheulean,1.55,3.16,28520.31,0.01,2,flake,Flaked,
OGS12,OGS12,22,80,cobble,1016,159,110,75,89.15,97.95,64.39,53.76,71.97,40.7,11,51712.9,75.57,2.1,1.18,1.3,0.85,0.71,0.95,0.54,2,Pick,3565.07,1.66,1.36,1.58,75.14,10.94,0.02,758865.14,75.14,Acheulean,1.45,2.12,32729.68,0.03,2,cobble,Flaked,
OGS12,OGS12,55,25,flake,618,125,123,45,78.93,86.23,77.4,34.12,44.3,26.14,6,33642.99,59.38,2.11,1.33,1.45,1.3,0.57,0.75,0.44,2,Knife,1395.74,2.31,1.95,2.96,34.45,3.48,0.02,352123.06,34.45,Acheulean,1.02,2.78,21293.03,0.03,2,flake,Flaked,
OGS12,OGS12,57,25,flake,640,145,113,51,81.71,111.07,61.96,36.27,49.55,30.73,4,40759.02,64.22,2.26,1.27,1.73,0.96,0.56,0.77,0.48,2,Handaxe,2989.59,2.25,2.24,2.02,71.46,4.45,0.01,496260.53,71.46,Acheulean,1.28,2.84,25796.85,0.02,2,flake,Flaked,
OGS12,OGS12,58,25,flake,562,137,82,48,68.84,82.18,48.75,38.24,45.53,30.39,5,32786.23,57.18,2.4,1.2,1.44,0.85,0.67,0.8,0.53,1,Core,2226.2,1.8,1.8,1.6,57.95,5.07,0.02,355152.11,57.95,Acheulean,1.67,2.85,20750.78,0.02,2,flake,Flaked,
OGS12,OGS12,59,5,flake,854,170,116.84,37,106.52,116.84,92.31,33.93,35.97,22.14,8,51865.1,65.69,2.59,1.62,1.78,1.41,0.52,0.55,0.34,2,Knife,799.34,3.14,3.25,4.17,34.7,4.23,0.02,553185.37,34.7,Acheulean,1.45,4.59,32826.01,0.02,2,flake,Flaked,
OGS12,OGS12,60,40,flake,438,128,78,47,63.17,72.29,42.59,36.9,46.3,27,6,28078.24,52.83,2.42,1.2,1.37,0.81,0.7,0.88,0.51,2,Handaxe,1667.34,1.71,1.56,1.58,59.4,6.75,0.02,288411.76,59.4,Acheulean,1.64,2.72,17771.04,0.03,2,flake,Flaked,
OGS12,OGS12,61,0,flake,674,136.6,86.5,50.2,86,81,62.5,39,49.7,40.3,0,38520.15,64.5,2.12,1.33,1.26,0.97,0.6,0.77,0.62,2,Large Flake,#NULL!,2.21,1.63,1.55,#NULL!,0,0,446202.33,#NULL!,Acheulean,1.58,2.72,24379.84,0,2,flake,Unmodified,
OGS12,OGS12,62,15,flake,644,153.62,109,58,67,101.9,63.94,26.05,48.35,52.42,3,41931.06,64.06,2.4,1.05,1.59,1,0.41,0.75,0.82,2,Knife,3644.9,2.57,2.11,1.22,82.83,3.88,0.01,508160.13,82.83,Acheulean,1.41,2.65,26538.65,0.01,2,flake,Flaked,
OGS12,OGS12,63,40,flake,750,167,86,47,86,77.38,38.17,33.88,44.81,30.86,4,38727.41,57.13,2.92,1.51,1.35,0.67,0.59,0.78,0.54,2,Handaxe,2502.51,2.54,1.73,1.24,69.21,4.85,0.01,416576.71,69.21,Acheulean,1.94,3.55,24511.02,0.02,2,flake,Flaked,
OGS12,OGS12,64,0,flake,310,112.12,83.4,37.94,80,72,50,35.24,35.37,22.2,0,25965.26,50.97,2.2,1.57,1.41,0.98,0.69,0.69,0.44,2,Large Flake,#NULL!,2.27,2.04,2.25,#NULL!,0,0,239603.49,#NULL!,Acheulean,1.34,2.96,16433.71,0,2,flake,Unmodified,
OGS12,OGS12,65,60,flake,750,108,106,38,74.08,105.36,67.8,45.02,37.22,32.9,13,31657.06,61.02,1.77,1.21,1.73,1.11,0.74,0.61,0.54,2,Handaxe,1572.29,1.65,2.83,2.06,50.82,10.83,0.04,338123.84,50.82,Acheulean,1.02,2.84,20036.11,0.06,2,cobble,Flaked,
OGS12,OGS12,66,85,flake,772,151,74,63,74.37,69.7,40.36,62.42,74.13,40,12,42595.23,66.66,2.27,1.12,1.05,0.61,0.94,1.11,0.6,2,Pick,2012.55,1.19,0.94,1.01,56.92,10.25,0.03,569229.84,56.92,Acheulean,2.04,2.4,26959.01,0.04,2,cobble,Flaked,
OGS12,OGS12,70,70,flake,1018,166,100.28,83,100.28,86,64.92,75.76,74,46.11,9,60066.42,81.57,2.04,1.23,1.05,0.8,0.93,0.91,0.57,2,Pick,3867.93,1.32,1.16,1.41,95.36,10.52,0.01,928777.04,95.36,Acheulean,1.66,2,38016.72,0.02,2,cobble,Flaked,
OGS12,OGS12,74,80,cobble,896,150,90,73,86.88,73.77,44.09,70.15,57.66,35.18,15,44418.72,66.95,2.24,1.3,1.1,0.66,1.05,0.86,0.53,2,Pick,2123.07,1.24,1.28,1.25,55.75,12.49,0.03,589015.17,55.75,Acheulean,1.67,2.05,28113.11,0.05,2,cobble,Flaked,
OGS12,OGS12,75,0,flake,398,130.9,77.5,37.7,75,76.1,33.1,25.7,34.8,36.6,0,27687.07,50.25,2.6,1.49,1.51,0.66,0.51,0.69,0.73,2,Large Flake,#NULL!,2.92,2.19,0.9,#NULL!,0,0,249991.41,#NULL!,Acheulean,1.69,3.47,17523.46,0,2,flake,Unmodified,
OGS12,OGS12,76,100,cobble,120,60,51.3,43.5,43,50.8,39.6,30,43,35.6,14,12379.76,42.2,1.42,1.02,1.2,0.94,0.71,1.02,0.84,1,Core,865.86,1.43,1.18,1.11,33.78,11.21,0.11,96706.37,33.78,Acheulean,1.17,1.38,7835.29,0.18,1,cobble,Flaked,
OGS12,OGS12,78,25,flake,1018,151.9,145.61,58.91,123,110,63.36,53.6,58.7,48.3,5,55927.9,79.34,1.91,1.55,1.39,0.8,0.68,0.74,0.61,2,Knife,3646.27,2.29,1.87,1.31,70.54,4.45,0.01,807550.38,70.54,Acheulean,1.04,2.58,35397.41,0.01,2,flake,Flaked,
OGS12,OGS12,79,80,cobble,874,145.17,115.53,71.84,100.39,74.15,37.25,55.59,71.75,65.91,9,47235.6,72.55,2,1.38,1.02,0.51,0.77,0.99,0.91,2,Pick,4149.43,1.81,1.03,0.57,42.67,5.29,0.02,639838.19,42.67,Acheulean,1.26,2.02,29895.95,0.03,2,cobble,Flaked,
OGS12,OGS12,86,0,flake,342,123.5,90.5,38.5,65.1,89.2,56.8,30.5,37,18.6,0,27511.5,50.65,2.44,1.29,1.76,1.12,0.6,0.73,0.37,2,Large Flake,#NULL!,2.13,2.41,3.05,#NULL!,0,0,258485.73,#NULL!,Acheulean,1.36,3.21,17412.34,0,2,flake,Unmodified,
OGS12,OGS12,102,65,flake,412,129,81,46,67.55,79.85,51.46,28.58,43.38,36.07,10,30179.28,55.4,2.33,1.22,1.44,0.93,0.52,0.78,0.65,2,Pick,1089.85,2.36,1.84,1.43,39.99,7.22,0.03,308659.5,39.99,Acheulean,1.59,2.8,19100.81,0.05,2,cobble,Flaked,
OGS12,OGS12,104,50,cobble,892,117.43,107.41,77,103,105,53.17,59,73,52,4,43692.72,76.35,1.54,1.35,1.38,0.7,0.77,0.96,0.68,1,Core,6265.99,1.75,1.44,1.02,88.62,4.64,0.01,639671.41,88.62,Acheulean,1.09,1.53,27653.62,0.01,1,cobble,Flaked,
OGS12,OGS12,109,30,flake,250,100,70.2,36,59.58,70.2,55.46,34.51,31.19,19.59,11,21177.9,46.76,2.14,1.27,1.5,1.19,0.74,0.67,0.42,2,Knife,622.41,1.73,2.25,2.83,19.45,4.58,0.05,175959.47,19.45,Acheulean,1.42,2.78,13403.73,0.08,2,flake,Flaked,
OGS12,OGS12,110,40,flake,436,119,93,46,93.24,83.59,52.3,45.31,31.4,18.54,7,30928.49,53.65,2.22,1.74,1.56,0.97,0.84,0.59,0.35,2,Knife,2089,2.06,2.66,2.82,53.74,7.01,0.02,307054.97,53.74,Acheulean,1.28,2.59,19575,0.04,2,flake,Flaked,
OGS12,OGS12,112,20,cobble,1374,132,108,95,103.83,103.5,78.76,88.86,94.53,84.92,4,64701.83,96.81,1.36,1.07,1.07,0.81,0.92,0.98,0.88,1,Core,1915.47,1.17,1.09,0.93,41.78,1.73,0.01,1119426.14,41.78,Acheulean,1.22,1.39,40950.53,0.01,1,cobble,Flaked,
OGS12,OGS12,113,30,flake,#NULL!,126,80.62,42,47,78,48.6,41.22,40.37,20.33,4,26069.06,49.8,2.53,0.94,1.57,0.98,0.83,0.81,0.41,2,Knife,1404.57,1.14,1.93,2.39,58.72,4.72,0.02,252566.82,58.72,Acheulean,1.56,3,16499.4,0.02,#NULL!,flake,Flaked,
OGS12,OGS12,114,70,cobble,430,115,78,42,73.87,71.33,61.77,50.99,49.98,32.04,12,31810.88,60.76,1.89,1.22,1.17,1.02,0.84,0.82,0.53,1,Core,1570.08,1.45,1.43,1.93,41.03,8.1,0.04,353345.45,41.03,Acheulean,1.47,2.74,20133.47,0.06,1,cobble,Flaked,
OGS12,OGS12,115,15,flake,782,121,114,50,82.95,99.37,67.2,47.05,44.63,27.15,4,35440.84,62.73,1.93,1.32,1.58,1.07,0.75,0.71,0.43,2,Knife,2066.21,1.76,2.23,2.48,53.13,3.39,0.01,405775.07,53.13,Acheulean,1.06,2.42,22430.91,0.02,2,flake,Flaked,
OGS12,OGS12,125,97,cobble,604,108,82,76,82,60.75,45.58,53.39,76,70.49,10,35542.03,68.41,1.58,1.2,0.89,0.67,0.78,1.11,1.03,1,Core,3073.92,1.54,0.8,0.65,64.38,9.41,0.03,435090.06,64.38,Acheulean,1.32,1.42,22494.96,0.04,1,cobble,Flaked,
OGS12,OGS12,127,5,cobble,1142,115.37,102,86.22,89,101,82,81.9,86,70,1,52247.21,88.32,1.31,1.01,1.14,0.93,0.93,0.97,0.79,1,Core,3208.22,1.09,1.17,1.17,64.19,0.73,0,826739.46,64.19,Acheulean,1.13,1.34,33067.85,0,1,cobble,Flaked,
OGS12,OGS12,134,25,cobble,1078,118,102,73,84.4,104.7,75.6,67.15,73.75,55.49,3,46134.92,80.37,1.47,1.05,1.3,0.94,0.84,0.92,0.69,1,Core,3320.42,1.26,1.42,1.36,58.92,2.2,0.01,684725.98,58.92,Acheulean,1.16,1.62,29199.31,0.01,1,cobble,Flaked,
OGS12,OGS12,135,15,cobble,454,117,67,60,60.54,66.92,55.53,47.83,59.95,49.74,2,32217.47,62.57,1.87,0.97,1.07,0.89,0.76,0.96,0.79,1,Core,2683.25,1.27,1.12,1.12,65,2.08,0.01,373341.11,65,Acheulean,1.75,1.95,20390.8,0.01,1,cobble,Flaked,
OGS12,OGS12,139,15,cobble,430,110,68,50,63.39,67.93,51.87,52.87,68.83,46.61,3,31545.76,63.51,1.73,1,1.07,0.82,0.83,1.08,0.73,1,Core,1151.42,1.2,0.99,1.11,40.33,1.91,0.01,379143.04,40.33,Acheulean,1.62,2.2,19965.67,0.02,1,cobble,Flaked,
OGS12,OGS12,144,35,cobble,502,115,86,63,68.14,83.16,66.21,21.54,56.25,58.66,5,32488.55,60.79,1.89,1.12,1.37,1.09,0.35,0.93,0.97,1,Core,2588.44,3.16,1.48,1.13,68.85,5.66,0.02,380614.37,68.85,Acheulean,1.34,1.83,20562.37,0.02,1,cobble,Flaked,
OGS12,OGS12,226,95,flake,742,156,106,57,96.86,90.31,50.24,50.41,55,26.4,14,44607.93,65.22,2.39,1.49,1.38,0.77,0.77,0.84,0.4,2,Handaxe,2580.74,1.92,1.64,1.9,60.09,12.9,0.03,575345.56,60.09,Acheulean,1.47,2.74,28232.87,0.05,2,cobble,Flaked,
OGS12,OGS12,2012,95,flake,794,174,84,75,67.42,82.58,58.12,34.6,73.57,51.2,10,47937.32,68.86,2.53,0.98,1.2,0.84,0.5,1.07,0.74,2,Pick,4570.92,1.95,1.12,1.14,75.15,10.91,0.02,653662.77,75.15,Acheulean,2.07,2.32,30340.07,0.03,2,cobble,Flaked,
OGS12,OGS12,2042,65,cobble,794,158,86,60,64.74,84.12,58.27,39.54,60,25.41,10,39019.55,60.66,2.6,1.07,1.39,0.96,0.65,0.99,0.42,2,Handaxe,2921.24,1.64,1.4,2.29,65.71,10.83,0.03,473830.61,65.71,Acheulean,1.84,2.63,24695.92,0.04,2,flake,Flaked,
OGS12,OGS12,3050,35,flake,862,154.95,82.7,72.15,74.18,81.73,62.11,66.87,55.56,26.18,10,44459.34,66.37,2.33,1.12,1.23,0.94,1.01,0.84,0.39,2,Handaxe,1793.97,1.11,1.47,2.37,57.42,8.65,0.02,568981.64,57.42,Acheulean,1.87,2.15,28138.82,0.04,2,flake,Flaked,
OGS12,OGS12,5004,35,flake,914,160,104.78,66.39,84.34,89.51,47.58,42.58,66,28.34,8,43163.61,64.37,2.49,1.31,1.39,0.74,0.66,1.03,0.44,2,Pick,2389.9,1.98,1.36,1.68,59.44,7.39,0.02,572736.09,59.44,Acheulean,1.53,2.41,27318.74,0.03,2,flake,Flaked,
OGS12,OGS12,5005,85,cobble,1048,176,94,67,88.89,73.41,53.62,60.74,60.96,29.96,9,50135.02,68.16,2.58,1.3,1.08,0.79,0.89,0.89,0.44,2,Pick,4715.59,1.46,1.2,1.79,88.06,11.63,0.02,666799.49,88.06,Acheulean,1.87,2.63,31731.03,0.03,2,cobble,Flaked,
OGS12,OGS12,5011,30,cobble,444,121,82,48,73.59,81.28,69.5,43.75,37.69,15.09,6,30154.25,53.48,2.26,1.38,1.52,1.3,0.82,0.7,0.28,2,Handaxe,1214.69,1.68,2.16,4.61,38.77,4.35,0.02,292757.2,38.77,Acheulean,1.48,2.52,19084.97,0.03,2,flake,Flaked,
OGS12,OGS12,5017,0,flake,666,160,91.42,51.62,73,89,56,40,52,15,0,38426.67,56.4,2.84,1.29,1.58,0.99,0.71,0.92,0.27,2,Large Flake,#NULL!,1.83,1.71,3.73,#NULL!,0,0,442886.4,#NULL!,Acheulean,1.75,3.1,24320.68,0,2,flake,Unmodified,
OGS12,OGS12,5022,80,flake,474,142,82,51,58.9,81.14,46.54,48.89,49.9,20.92,17,32848.69,55.45,2.56,1.06,1.46,0.84,0.88,0.9,0.38,2,Handaxe,1214,1.2,1.63,2.22,38.77,11.89,0.05,370293.52,38.77,Acheulean,1.73,2.78,20790.31,0.08,2,cobble,Flaked,
OGS12,OGS12,5024,40,flake,624,151,80.58,51.1,75.84,80.58,39.6,45.99,51.91,32.13,13,37582.6,60.01,2.52,1.26,1.34,0.66,0.77,0.87,0.54,2,Handaxe,1343.22,1.65,1.55,1.23,42.48,9.2,0.03,445636.54,42.48,Acheulean,1.87,2.95,23786.45,0.05,2,flake,Flaked,
OGS12,OGS12,5025,75,cobble,738,160,83,70,83,57.38,33.82,50.62,70.76,40.86,14,41470.28,62.61,2.56,1.33,0.92,0.54,0.81,1.13,0.65,2,Pick,2074.2,1.64,0.81,0.83,54.67,12.22,0.03,509179.65,54.67,Acheulean,1.93,2.29,26247.01,0.05,2,cobble,Flaked,
OGS12,OGS12,5026,75,cobble,1206,158,101,74,84.2,101,58.7,64.2,80.6,76.5,6,58897.26,84.68,1.87,0.99,1.19,0.69,0.76,0.95,0.9,1,Core,6656.4,1.31,1.25,0.77,92.65,6.56,0.01,940438.23,92.65,Acheulean,1.56,2.14,37276.74,0.02,2,cobble,Flaked,
OGS12,OGS12,5030,25,flake,728,156,94,47,75.09,90.69,73.64,34.46,46.54,27.79,8,40847.9,61.91,2.52,1.21,1.46,1.19,0.56,0.75,0.45,2,Handaxe,1228.14,2.18,1.95,2.65,46.65,6.03,0.02,455843.54,46.65,Acheulean,1.66,3.32,25853.1,0.03,2,flake,Flaked,
OGS12,OGS12,5031,50,cobble,400,90,70.14,62,53.8,65,59.9,59.69,60.93,50.45,6,27219.48,61.84,1.46,0.87,1.05,0.97,0.97,0.99,0.82,1,Core,1846.08,0.9,1.07,1.19,50.74,4.92,0.02,302753.69,50.74,Acheulean,1.28,1.45,17227.52,0.03,1,cobble,Flaked,
