length_rec,@0.1_thickness,@0.2_thickness,@0.3_thickness,@0.4_thickness,@0.5_thickness,@0.6_thickness,@0.7_thickness,@0.8_thickness,@0.9_thickness,@0.1_width,@0.2_width,@0.3_width,@0.4_width,@0.5_width,@0.6_width,@0.7_width,@0.8_width,@0.9_width,Type
163.95,15.704,20.889,30.765,36.296,54.173,71.21,75.852,75.309,64.346,28.741,42.074,59.654,73.284,77.877,76.296,64.84,54.321,41.333,pick
188.4,22.37,32.938,42.716,49.63,55.802,56.79,60.346,67.16,60.84,19.951,26.37,39.802,48.198,67.358,70.963,77.481,74.321,64.198,pick
159.01,40.346,53.778,65.827,72.444,81.679,91.407,79.01,59.457,38.272,33.728,48.889,62.469,81.037,91.407,97.432,91.704,76.84,57.68,pick
147.06,20.642,28.395,37.037,49.975,56.889,63.111,61.778,57.086,44.84,18.914,32.049,49.284,58.123,68.84,77.778,83.407,74.765,57.481,pick
125.33,20.741,29.679,43.802,55.605,60.494,63.111,62.272,58.568,41.086,16.79,29.63,45.63,66.222,79.012,85.877,87.951,86.568,77.136,handaxe
108.2,11.654,18.222,23.111,31.259,40.395,51.16,48.049,37.235,27.062,18.025,24.79,31.704,42.123,51.605,52.988,57.778,60.148,49.778,pick
133.19,33.284,41.975,41.827,43.506,47.358,47.605,46.222,44,38.667,41.63,66.272,72,72.346,68.938,75.062,76.889,74.42,64.049,Flake
103.95,29.333,43.802,56.988,60.84,64.79,65.383,60.741,50.173,33.432,38.123,53.481,59.358,73.827,86.025,87.802,73.778,61.333,39.7,Core
76.4,13.947,24.211,32.281,36.886,38.947,41.754,42.193,38.246,23.772,19.561,29.825,34.211,37.807,41.009,43.07,43.158,40.658,29.912,Oldowan
85.52,18.583,25.75,29.542,34.667,37.083,37.708,35.083,31.167,25.792,34.739,47.043,61.652,64.913,66.261,64.913,61.87,50.739,34.783,Oldowan
78,16.86,24.628,26.198,27.975,28.76,28.76,29.091,29.835,26.942,33.091,46.545,44.909,47.727,55.909,52.955,51.818,44.818,39.091,Oldowan
102.25,14.628,32.975,50.744,60.165,63.802,60.248,55.124,41.157,24.298,26.5,39.542,46.042,49.708,52.208,53.042,51.5,43.875,27.208,Oldowan
76.7,17.815,30,38.824,44.118,45.336,43.571,37.563,29.832,17.143,30.739,42.783,50.609,53.565,54,53.826,52.435,47.826,39.217,Oldowan
81.82,12.241,20.776,31.466,41.25,42.112,42.026,38.147,32.5,25.603,26.489,45.689,51.822,54.311,55.289,53.156,48.844,43.244,33.422,Oldowan
104.16,30.535,49.218,57.449,60.823,60.494,69.63,64.938,54.403,39.259,44.28,51.111,65.514,70.494,72.387,69.342,64.198,54.897,37.86,Oldowan
80.55,40.167,48.536,52.803,55.23,56.987,55.314,52.05,48.452,43.473,27.553,49.494,58.143,62.743,67.215,67.468,62.658,56.287,42.025,Oldowan
84.3,25.391,35.652,40.174,43.913,48.522,46.826,42.174,35.739,17.826,12.565,27.217,43.87,48.739,50.522,49.783,50.261,42.696,22.348,Oldowan
67.43,17.19,27.851,35.909,40.661,41.281,37.851,35.868,29.008,20.826,24.248,34.69,42.566,48.761,54.292,54.159,48.142,38.673,26.46,Oldowan
77.78,28.291,35.299,39.231,42.35,42.778,42.521,40.812,41.538,32.564,36.838,43.59,52.137,51.282,47.265,41.795,37.265,30.513,13.419,Oldowan
81.53,27.333,39.583,51,61.25,65.625,62.583,55.833,47.417,34.25,43.388,51.942,57.479,62.231,65.579,66.488,67.231,64.711,54.463,Oldowan
78.09,33.333,36.267,36.356,35.556,35.467,35.2,34.933,34.667,29.422,24.489,41.733,49.2,56.489,60.267,59.422,51.778,38.889,23.733,Oldowan
48.16,16.706,24.869,28.222,30.729,31.137,32.157,34.869,30.321,20.233,27.318,31.545,33.294,36.793,38.571,37.405,35.948,34.344,26.618,Oldowan
