Label,Area,BX,BY,Width,Height(cm)
BSN17-21A.tiff,137.88,0,0,8.41,16.395
BSN17-22A.tiff,62.374,0,0,6.415,9.723
BSN17-23A.tiff,93.877,0,0,7.101,13.22
BSN17-24A.tiff,151.832,0,0,8.059,18.84
BSN17-29A.tiff,79.838,0,0,7.057,11.314
BSN17-32D.tiff,156.264,0,0,9.827,15.901
BSN17-34A.tiff,124.258,0,0,8.449,14.706
BSN17-35A.tiff,111.531,0,0,8.899,12.533
BSN17-36A.tiff,66.628,0,0,6.158,10.82
BSN17C-23C.tiff,113.943,0,0,8.202,13.891
BSN17C-201A.tiff,109.771,0,0,8.242,13.319
BSN17C-218a.tiff,78.609,0,0,7.822,10.049
BSN17C-231A.tiff,97.226,0,0,9.353,10.395
BSN17C-510A.tiff,58.105,0,0,5.358,10.844
