Label,Area,BX,BY,Width,Height(cm)
EG10_1121_plan_228cm.tif,33.376,0,0,4.368,7.64
EG10_1125_plan_230cm.tif,58.824,0,0,6.878,8.552
EG10_1171_plan_220cm.tif,45.595,0,0,5.845,7.8
EG10_1184_plan_240cm.tif,55.598,0,0,5.438,10.225
EG10_1215_plan_230cm.tif,41.682,0,0,5.435,7.67
EG10_1223_plan_225cm.tif,46.039,0,0,5.627,8.182
EG10_1302_plan_243cm.tif,77.753,0,0,7.465,10.416
EG10_1320_plan_237cm.tif,54.855,0,0,6.81,8.055
EG10_1334_plan_230cm.tif,44.718,0,0,5.304,8.43
EG10_1335_plan_226cm.tif,37.178,0,0,5.513,6.743
EG10_1533_plan_234cm.tif,41.614,0,0,5.35,7.778
EG10_1545_plan_242cm.tif,55.588,0,0,6.818,8.153
EG10_1559_plan_225cm.tif,49.838,0,0,6.382,7.809
