Label,Area,BX,BY,Width,Height(cm)
OGS12-13A.tiff,219.812,0,0,10.925,20.119
OGS12-15A.tiff,123.514,0,0,8.995,13.731
OGS12-16A.tiff,130.749,0,0,9.05,14.448
OGS12-17A.tiff,192.703,0,0,10.96,17.582
OGS12-57A.tiff,186.708,0,0,11.94,15.637
OGS12-62A.tiff,189.018,0,0,11.502,16.433
OGS12-63A.tiff,166.071,0,0,9.443,17.587
OGS12-74A.tiff,165.856,0,0,9.881,16.786
OGS12-102a.tiff,112.32,0,0,8.264,13.592
OGS12-106B.tiff,50.581,0,0,5.111,9.896
OGS12-110A.tiff,120.258,0,0,9.644,12.469
OGS12-113A.tiff,113.49,0,0,8.336,13.615
OGS12-114A.tiff,95.467,0,0,7.965,11.985
OGS12-115A.tiff,159.911,0,0,10.346,15.457
OGS12-226a.tiff,172.919,0,0,10.821,15.98
OGS12-232A.tiff,28.077,0,0,5.319,5.279
OGS12-2012a.tiff,162.172,0,0,9.065,17.891
OGS12-2042A.tiff,157.311,0,0,9.338,16.846
