L,Br,T,Br1,Br2,Br3,T1,T2,T3,Type
159,79,78.67,55.7,73.31,43.92,74.64,43.46,22.3,pick
181,79.5,64,77,61.87,29.37,63,61,35.88,pick
156,88,80,62.49,88,50.38,46.55,78.04,39.53,pick
141,81,56,75.5,61.62,40.75,54.17,56,30.08,pick
117,84,55,85.11,76.64,34.13,53.24,53.07,34.42,handaxe
103,58,47,57.64,51.18,30.81,39.2,43.6,24.55,pick
125,75.1,34.5,75.3,68.7,62.2,22,28.3,33,Flake
101,90,63,68.15,75.23,41.79,50.37,58.29,46.03,Core
79.6,43.9,42.6,42.4,41.3,30.4,33.6,38,25.3,Oldowan
85.3,65.8,35,56.6,64.9,54.1,26.2,34.8,24.4,Oldowan
86.3,61.5,39.8,57.9,60.1,27,30.4,34,23,Oldowan
104.7,71.4,50.8,45.7,67.2,38.8,38.7,48.3,41.7,Oldowan
78,53.2,45.5,48.4,51.2,43.4,31.9,45,40.8,Oldowan
82,57.7,38.9,50.4,57.1,48.5,26.9,38.3,20.5,Oldowan
103.9,71.6,60.1,64.2,70.3,53.8,55.1,60,40,Oldowan
81.2,66.8,59.6,62.8,65.6,50.9,57.4,59.6,52.4,Oldowan
85.1,50.6,44.4,49.1,47.9,34.6,42.8,44.1,35.6,Oldowan
68.2,55.7,33.2,49.9,53.1,33.2,32.2,33,28,Oldowan
80.4,56,56.8,48.3,47,36.7,36.5,49.6,25.8,Oldowan
84.5,68.4,66.1,65.4,66.5,57.6,51.8,63,42.4,Oldowan
80,56.3,34.6,52.1,49.8,44.8,34.4,34.5,33.5,Oldowan
46,38,32,35.6,37.5,31.6,26.7,31,26.9,Oldowan
42,34,16,29.8,31.3,27.1,13.9,15.2,13.1,Oldowan
73,49,46,41.3,41.6,28.3,14.7,25,14.2,Oldowan
44,33,27,29.8,28.3,19.4,25.2,25.4,19.6,Oldowan
47,38,25,37.5,34.2,23.8,25.4,23.3,18,Oldowan
41,33.1,26,24.3,31.3,21.3,22,24.7,22,Oldowan
49,39,38,37.7,30.9,27.7,30.4,34.2,21.3,Oldowan
183,95,64,85.01,95.68,67.43,62.15,61.79,40.34,pick
133,84,63,78.99,77.8,48.14,34,63,21.38,handaxe
135,84,42,69.93,83.62,64.42,43.65,41.35,21.59,handaxe
167.3,107.59,53,91.75,96.79,55.15,43.49,45.29,23.94,Flake
145,113,51,81.71,111.07,61.96,36.27,49.55,30.73,handaxe
153.62,109,58,67,101.9,63.94,26.05,48.35,52.42,Flake
167,86,47,86,77.38,38.17,33.88,44.81,30.86,handaxe
150,90,73,86.88,73.77,44.09,70.15,57.66,35.18,pick
129,81,46,67.55,79.85,51.46,28.58,43.38,36.07,pick
119,93,46,93.24,83.59,52.3,45.31,31.4,18.54,Flake
126,80.62,42,47,78,48.6,41.22,40.37,20.33,Flake
115,78,42,73.87,71.33,61.77,50.99,49.98,32.04,Core
121,114,50,82.95,99.37,67.2,47.05,44.63,27.15,Flake
156,106,57,96.86,90.31,50.24,50.41,55,26.4,handaxe
174,84,75,67.42,82.58,58.12,34.6,73.57,51.2,pick
158,86,60,64.74,84.12,58.27,39.54,60,25.41,handaxe
