"","GM_L","GM_Br1","GM_Br2","GM_Br3","GM_T1","GM_T2","GM_T3","Note","Site","Catalog","Scan","Coverage","Old_Scar_Length","New_Scar_Length","Total_Scar_Area","Base","Type.x","Technology","Weight","L","Br","T","Br1","Br2","Br3","T1","T2","T3","ScarCnt","SA_fitted","Calc_cover","GM","Mode","Typology","Dis_1","logSDI","Average_scar_area","Average_scar_area_relative","Collapsed_Types","FAC1_1.x","FAC2_1","filter_$","logSDI_plus_one","Name","Type.y","Volume","Length","Width","Thickness","Length of the higher touch point of width","Length of the higher touch point of thickness","width at half length","thickness at half","width at one fifth","thickness at one fifth","width at four fifth","thickness at four fifth","3DGMPC1(10x10)","3DGMPC2(10x10)","3DGMPC3(10x10)","3DGMPC4(10x10)","3DGMPC5(10x10)","ScarCount.x","SurfaceArea3D","SDI","%Cortex","%Ventral","%Flaked","SurfaceAreaCallipers","%FlakedVisual","%FlakedCallipers","FAC1_1.y","TotalSurfaceArea","ScarCount.y","%FlakedSurfaceArea","MaxScar/Mean","Individual Scar Surface Areas","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24"
"1",2.387392655,1.109028686,1.248228029,0.879682441,0.810800292,0.806103782,0.526270053,NA,"OGS12","13",1,40,664.3,663.9,24407.99,"flake","pick","Bifacial",998,183,95,64,85.01,95.68,67.43,62.15,61.79,40.34,13,58316.2977,0.418544917,76.65266106,2,"Pick","Pick",0.348153408,1877.537692,0.032195763,"Pick",0.355645548,-0.907918797,"Not Selected",0.509097963,"OGS12-13","Pick",329420.9128,171.9596823,91.36688767,63.66758547,91.88050885,67.75464469,90.94233105,56.98508516,74.73354047,51.37377307,65.88362318,28.94837898,1.8345,0.4692,0.0333,-0.04,-0.1758,13,31229.09326,0.000416278,24.094,31.576,44.33,58316.2977,40,0.418544917,0.355645548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2.363816093,1.224456736,1.464165198,1.12797802,0.764300537,0.724028114,0.378035477,NA,"OGS12","16",1,60,530.2,549.6,20916.4,"cobble","handaxe","Bifacial",586,135,84,42,69.93,83.62,64.42,43.65,41.35,21.59,11,33653.6723,0.621519096,57.11104194,2,"Handaxe/Cleaver","Handaxe/Cleaver",0.514360224,1901.490909,0.056501736,"Handaxe",0.786874884,0.100832483,"Not Selected",0.630284271,"OGS12-16","Handaxe/Cleaver",205943.0019,131.7349127,83.55946594,43.48146166,63.86677498,71.92329774,82.71012926,41.91998052,68.18527523,43.46433147,53.40385732,20.83770267,0.5485,0.0142,-0.285,-0.2172,-0.32,11,21978.42586,0.000500491,36.965,0,63.035,33653.6723,60,0.621519096,0.786874884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2.922936076,1.505224566,1.354352057,0.668074671,0.592988469,0.784292009,0.540130583,NA,"OGS12","63",1,40,160.4,276.84,10010.0371,"flake","handaxe","Unidirectional",750,167,86,47,86,77.38,38.17,33.88,44.81,30.86,4,38727.4062,0.258474246,57.13433193,2,"Handaxe/Cleaver","Pick",0.014041581,2502.509275,0.064618561,"Handaxe",1.567594654,-1.60623509,"Selected",0.308107532,"OGS12-63","Handaxe/Cleaver",230270.3364,166.6996195,85.69830057,48.76776449,62.40911132,72.34652152,79.07127505,46.10741969,77.58652209,36.61089825,35.46707625,28.93641999,2.0248,0.0107,-0.2236,-0.5395,-0.4423,4,25779.52488,0.000155162,26.618,31.088,42.294,38727.4062,40,0.258474246,1.567594654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2.240348976,1.297610127,1.101803626,0.658513242,1.047736538,0.861190146,0.525436513,NA,"OGS12","74",1,80,792,836.2,31846.08,"cobble","pick","Multifacial",896,150,90,73,86.88,73.77,44.09,70.15,57.66,35.18,15,44418.7182,0.716951801,66.95385478,2,"Pick","Pick",0.528525237,2123.072,0.047796787,"Pick",-0.120476569,-1.443246833,"Not Selected",0.641172054,"OGS12-74","Pick",326280.0205,149.7376048,87.72087158,71.71778991,60.51875938,25.33583582,73.70279675,57.58451998,82.26780862,71.01789986,39.68432572,31.93314162,0.8599,-1.1407,1.0446,0.312,-0.2093,15,29198.25199,0.000513729,23.571,0,76.429,44418.7182,80,0.716951801,-0.120476569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2.328604626,1.219358469,1.441388212,0.928914683,0.515903258,0.783060998,0.651106735,NA,"OGS12","102",1,65,383,399.9,10898.54,"flake","pick","Bifacial",412,129,81,46,67.55,79.85,51.46,28.58,43.38,36.07,10,30179.2812,0.36112656,55.39798321,2,"Pick","Large Flake",0.520291108,1089.854,0.036112656,"Pick",0.535491582,-0.023279169,"Not Selected",0.634832978,"OGS12-102","Pick",166400.1858,128.5929583,79.09428987,47.63256998,65.73984061,83.73134218,78.06728729,47.36250409,63.95026615,30.11246972,37.13323754,27.65341341,1.1154,0.3545,-0.2979,-0.0963,-0.0313,10,19171.15399,0.000521617,33.544,21.086,45.37,30179.2812,65,0.36112656,0.535491582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2.218043234,1.73790211,1.558035579,0.974820682,0.84453394,0.585265189,0.345567408,NA,"OGS12","110",1,40,396.2,376.21,14622.97,"flake","Flake","Unidirectional",436,119,93,46,93.24,83.59,52.3,45.31,31.4,18.54,7,30928.49307,0.472799304,53.65089291,2,"Retouched Flake/Knife","Retouched Flake/Knife",0.35473928,2088.995714,0.067542758,"Flake",0.873765634,0.595177804,"Selected",0.513655029,"OGS12-110","""Retouched Flake/Knife""",159932.0859,115.0246369,91.53153617,45.81800845,38.8060288,32.93761413,87.26294946,35.00131338,89.91091954,39.53693892,45.59098824,16.29614468,0.7003,0.0061,-0.1981,0.7349,-0.6929,7,20495.82142,0.000341533,9.32,40.421,50.259,30928.49307,40,0.472799304,0.873765634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2.530205381,0.943806769,1.566317617,0.975936361,0.827738618,0.810669772,0.40824663,NA,"OGS12","113",NA,30,NA,234.88,5618.2672,"flake","Flake","Unifacial simple",NA,126,80.62,42,47,78,48.6,41.22,40.37,20.33,4,26069.058,0.215514776,49.798329,2,"Retouched Flake/Knife","Handaxe/Cleaver",0.185934653,1404.5668,0.053878694,"Flake",0.828719195,-0.668698977,"Selected",0.403872776,"OGS12-113","""Retouched Flake/Knife""",140636.2073,124.639496,80.36357334,45.21207515,52.66057175,52.45858712,77.47649034,38.21047184,58.92725525,45.1681591,46.54323355,20.74040568,1.6544,1.0272,0.4225,1.1281,0.7706,4,18001.17207,0.000222208,28.686,45.626,25.688,26069.058,30,0.215514776,0.828719195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1.928993227,1.322396597,1.58416576,1.071308635,0.750075466,0.711495601,0.432827819,NA,"OGS12","115",1,15,225.2,212.5,8264.85,"flake","Flake","Unidirectional",782,121,114,50,82.95,99.37,67.2,47.05,44.63,27.15,4,35440.84417,0.233201274,62.72702168,2,"Retouched Flake/Knife","Retouched Flake/Knife",0.052555934,2066.2125,0.058300318,"Flake",0.132404007,1.046948817,"Selected",0.328102482,"OGS12-115","""Retouched Flake/Knife""",276080.1563,144.9418023,98.64116151,51.25369966,71.98961245,65.98318668,97.48854221,45.48888255,82.99472039,50.99081888,60.22681323,20.35247411,1.1282,0.3607,0.1971,1.2627,0.4113,4,27751.14741,0.000144138,44.377,35.288,20.335,35440.84417,15,0.233201274,0.132404007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2.392004809,1.485189652,1.384756117,0.770348215,0.772954887,0.843335029,0.404800814,NA,"OGS12","226",1,95,746.2,841.32,36130.3914,"flake","handaxe","Bifacial",742,156,106,57,96.86,90.31,50.24,50.41,55,26.4,14,44607.9286,0.809954475,65.2172602,2,"Handaxe/Cleaver","Handaxe/Cleaver",0.496715979,2580.742243,0.057853891,"Handaxe",0.683005203,-0.677390135,"Selected",0.616838292,"OGS12-226","Handaxe/Cleaver",265926.4603,146.8479093,97.08638495,56.98601238,63.72911316,68.87627428,88.92459266,53.4315864,93.84650044,48.18327881,47.90444418,29.96949285,1.1434,-0.0491,-0.4351,-0.048,-0.3111,14,28122.78925,0.000497817,3.88,0,96.12,44607.9286,95,0.809954475,0.683005203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2.527018909,0.979147212,1.199317365,0.844082408,0.502499162,1.068464259,0.743582576,NA,"OGS12","2012",1,95,753,751.5,45709.184,"flake","pick","Bifacial",794,174,84,75,67.42,82.58,58.12,34.6,73.57,51.2,10,47937.316,0.953519884,68.85583617,2,"Pick","Pick",0.319326286,4570.9184,0.095351988,"Pick",0.342966958,-1.298125948,"Not Selected",0.489404021,"OGS12-2012","Pick",286650.3212,172.9814853,83.33122997,73.75098051,113.2366165,91.19937374,80.87771,71.63749219,55.47582921,45.38900033,58.25417043,30.91020527,1.9119,0.4953,-0.5863,-1.3083,0.2013,10,30194.04869,0.000331191,8.761,0,91.239,47937.316,95,0.953519884,0.342966958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
