GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Site,Locality,Catalog,FAI,Base,Weight,L.x,Br,T,Br1.x,Br2.x,Br3.x,T1.x,T2.x,T3.x,ScarCnt,SA_fitted,GM,Mode,Typology,Average_scar_area,BaseRefinement,MidRefinement,TipRefinement,AvgScarLength,GM_Scar_length,SDI.x,Volume_fitted,Avg_Scar_length,Contexts,LbyBr.x,LbyT.x,SA_Corrected,cSDI,Dis_1,Dis_2,Flaked.x,PC1,PC2,Note,Name,Type,L.y,Br1.y,Br2.y,Br3.y,T1.y,T2.y,T3.y,Caliper_L_GM,Caliper_Br1_GM,Caliper_Br2_GM,Caliper_Br3_GM,Caliper_T1_GM,Caliper_T2_GM,Caliper_T3_GM,Volume,Length,Width,Thickness,Lengthofthehighertouchpointofwidth,Lengthofthehighertouchpointofthickness,widthathalflength,thicknessathalf,widthatonefifth,thicknessatonefifth,widthatfourfifth,thicknessatfourfifth,@3DGMPC110x10,@3DGMPC210x10,@3DGMPC310x10,@3DGMPC410x10,@3DGMPC510x10,ScarCount,SurfaceArea3D,SDI.y,Cortex,Ventral,Flaked.y,SurfaceAreaCallipers,FlakedVisual,FlakedCallipers,FAC1_1,ScarcountDS,PC1_Final,PC2_Final,FAC1_2,FAC2_2,FAC3_2,FAC4_2,LbyBr2,LbyT2,Br1byBr3,T1byT3,LbyBr.y,LbyT.y,SDILinearEst,SAcalipersCorrected,SDILinearCorrected,TDFlaked_VisualFlaked,PC11,PC22
2.39,1.11,1.25,0.88,0.81,0.81,0.53,OGS12,OGS12,13,40,flake,998,183,95,64,85.01,95.68,67.43,62.15,61.79,40.34,13,58316.3,76.65,2,Pick,1877.54,1.37,1.55,1.67,51.07,8.66,0.02,840360.96,51.07,Acheulean,1.93,2.86,36909.05,0.04,2,flake,Flaked,0.31653,-0.88789,NA,OGS12-13,Pick,183,85.01,95.68,67.43,62.15,61.79,40.34,2.387392655,1.109028686,1.248228029,0.879682441,0.810800292,0.806103782,0.526270053,329420.9128,171.9596823,91.36688767,63.66758547,91.88050885,67.75464469,90.94233105,56.98508516,74.73354047,51.37377307,65.88362318,28.94837898,1.8345,0.4692,0.0333,-0.04,-0.1758,13,31229.09326,0.000416278,24.094,31.576,44.33,58316.2977,40,0.418544917,0.355645548,13,0.35565,-0.90792,0.628308075,-0.255224302,-0.466374359,-0.838303486,1.912625418,2.961644279,1.260714815,1.540654437,1.8820788,2.70089844,0.000222922,38877.5318,0.000334383,4.33,-0.143543582,-0.268334038
2.36,1.4,1.38,0.85,0.6,1.12,0.38,OGS12,OGS12,15,90,cobble,480,133,84,63,78.99,77.8,48.14,34,63,21.38,14,32381.71,56.34,2,Handaxe,2419.96,2.32,1.23,2.25,57.74,14.35,0.04,378169.11,57.74,Acheulean,1.58,2.11,20494.76,0.07,2,cobble,Flaked,0.52716,-0.60031,NA,OGS12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.238052666,-0.183268846
2.36,1.22,1.46,1.13,0.76,0.72,0.38,OGS12,OGS12,16,60,cobble,586,135,84,42,69.93,83.62,64.42,43.65,41.35,21.59,11,33653.67,57.11,2,Handaxe,1901.49,1.6,2.02,2.98,49.96,9.62,0.03,351987.74,49.96,Acheulean,1.61,3.21,21299.79,0.05,2,flake,Flaked,0.75491,0.10122,NA,OGS12-16,Handaxe/Cleaver,135,69.93,83.62,64.42,43.65,41.35,21.59,2.363816093,1.224456736,1.464165198,1.12797802,0.764300537,0.724028114,0.378035477,205943.0019,131.7349127,83.55946594,43.48146166,63.86677498,71.92329774,82.71012926,41.91998052,68.18527523,43.46433147,53.40385732,20.83770267,0.5485,0.0142,-0.285,-0.2172,-0.32,11,21978.42586,0.000500491,36.965,0,63.035,33653.6723,60,0.621519096,0.786874884,11,0.78687,0.10083,0.74227885,1.068558941,0.073499853,-1.483311262,1.614446305,3.264812576,1.085532443,2.021769338,1.576540865,3.029679952,0.000326859,22435.78153,0.000490288,3.035,-0.344219365,0.03232074
2.66,1.46,1.54,0.88,0.69,0.72,0.38,OGS12,OGS12,17,10,flake,618,167.3,107.59,53,91.75,96.79,55.15,43.49,45.29,23.94,4,45062.09,62.83,2,Knife,1829.69,2.11,2.14,2.3,53.31,3.39,0.01,535202.54,53.31,Acheulean,1.55,3.16,28520.31,0.01,2,flake,Flaked,1.35685,-0.5706,NA,OGS12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.625102605,-0.171080362
2.1,1.18,1.3,0.85,0.71,0.95,0.54,OGS12,OGS12,22,80,cobble,1016,159,110,75,89.15,97.95,64.39,53.76,71.97,40.7,11,51712.9,75.57,2,Pick,3565.07,1.66,1.36,1.58,75.14,10.94,0.02,758865.14,75.14,Acheulean,1.45,2.12,32729.68,0.03,2,cobble,Flaked,-0.14075,-0.33994,NA,OGS12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07118832,-0.097056237
2.11,1.33,1.45,1.3,0.57,0.75,0.44,OGS12,OGS12,55,25,flake,618,125,123,45,78.93,86.23,77.4,34.12,44.3,26.14,6,33642.99,59.38,2,Knife,1395.74,2.31,1.95,2.96,34.45,3.48,0.02,352123.06,34.45,Acheulean,1.02,2.78,21293.03,0.03,2,flake,Flaked,0.48767,1.12957,NA,OGS12-55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.227999424,0.33397374
2.26,1.27,1.73,0.96,0.56,0.77,0.48,OGS12,OGS12,57,25,flake,640,145,113,51,81.71,111.07,61.96,36.27,49.55,30.73,4,40759.02,64.22,2,Handaxe,2989.59,2.25,2.24,2.02,71.46,4.45,0.01,496260.53,71.46,Acheulean,1.28,2.84,25796.85,0.02,2,flake,Flaked,0.71357,0.56594,NA,OGS12-57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.330405853,0.167156168
2.4,1.2,1.44,0.85,0.67,0.8,0.53,OGS12,OGS12,58,25,flake,562,137,82,48,68.84,82.18,48.75,38.24,45.53,30.39,5,32786.23,57.18,1,Core,2226.2,1.8,1.8,1.6,57.95,5.07,0.02,355152.11,57.95,Acheulean,1.67,2.85,20750.78,0.02,2,flake,Flaked,0.56473,-0.47151,NA,OGS12-58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.260276852,-0.147295797
2.59,1.62,1.78,1.41,0.52,0.55,0.34,OGS12,OGS12,59,5,flake,854,170,116.84,37,106.52,116.84,92.31,33.93,35.97,22.14,8,51865.1,65.69,2,Knife,799.34,3.14,3.25,4.17,34.7,4.23,0.02,553185.37,34.7,Acheulean,1.45,4.59,32826.01,0.02,2,flake,Flaked,1.92417,1.31052,NA,OGS12-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.89423336,0.389419667
2.42,1.2,1.37,0.81,0.7,0.88,0.51,OGS12,OGS12,60,40,flake,438,128,78,47,63.17,72.29,42.59,36.9,46.3,27,6,28078.24,52.83,2,Handaxe,1667.34,1.71,1.56,1.58,59.4,6.75,0.02,288411.76,59.4,Acheulean,1.64,2.72,17771.04,0.03,2,flake,Flaked,0.49383,-0.815,NA,OGS12-60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.224110789,-0.241961598
